entry_date,ticker,sector,lgbm_prob,entry_price,exit_price,exit_date,exit_day,reason,pnl_gross,pnl_net,rule
2025-01-06,036570,게임,0.6056453777910408,191200.0,181640.0,2025-01-13,4,stop_loss,-0.05,-0.0541,A
2025-01-14,009540,조선,0.6290459977278927,236000.0,241000.0,2025-01-22,5,time_exit,0.0211864406779661,0.0170864406779661,A
2025-01-23,009540,조선,0.6410821707607316,228500.0,228000.0,2025-02-06,5,time_exit,-0.002188183807439825,-0.006288183807439824,A
2025-02-10,009540,조선,0.60838424678506,219500.0,241450.00000000003,2025-02-13,2,take_profit,0.10000000000000013,0.09590000000000012,A
2025-02-14,259960,게임,0.6854164911424006,316000.0,327000.0,2025-02-24,5,time_exit,0.03481012658227848,0.03071012658227848,A
2025-02-25,443060,조선,0.6567008546818313,134500.0,127775.0,2025-02-28,2,stop_loss,-0.05,-0.0541,A
2025-03-04,460930,조선,0.8384697875577629,17010.0,16410.0,2025-03-12,5,time_exit,-0.03527336860670194,-0.03937336860670194,A
2025-03-14,052770,게임,0.6148794850415761,3762.0,3573.8999999999996,2025-03-17,0,stop_loss,-0.0500000000000001,-0.0541000000000001,A
2025-03-18,030350,게임,0.7573371175309116,1075.0,1021.25,2025-03-19,0,stop_loss,-0.05,-0.0541,A
2025-03-20,030350,게임,0.7799371570260576,991.0,941.4499999999999,2025-03-21,0,stop_loss,-0.05000000000000007,-0.05410000000000007,A
2025-03-24,329180,조선,0.5727830592017188,300000.0,285000.0,2025-03-26,1,stop_loss,-0.05,-0.0541,A
2025-03-27,058970,소프트웨어,0.6995517302666593,53700.0,51015.0,2025-04-03,4,stop_loss,-0.05,-0.0541,A
2025-04-04,005387,자동차,0.7183550029481891,136300.0,136400.0,2025-04-14,5,time_exit,0.0007336757153338225,-0.003366324284666177,A
2025-04-15,474170,방산,0.6662927270916016,8960.0,9020.0,2025-04-23,5,time_exit,0.006696428571428571,0.0025964285714285716,A
2025-04-24,440110,반도체,0.5686257028540611,11210.0,10649.5,2025-04-30,3,stop_loss,-0.05,-0.0541,A
2025-05-02,012450,방산,0.6061988761677642,819275.0,778311.25,2025-05-13,4,stop_loss,-0.05,-0.0541,A
2025-05-14,329180,조선,0.5535762687095338,413500.0,392825.0,2025-05-22,5,stop_loss,-0.05,-0.0541,A
2025-05-23,086900,바이오,0.5609439487037059,167700.0,168400.0,2025-06-02,5,time_exit,0.0041741204531902205,7.412045319022103e-05,A
2025-06-04,087010,바이오,0.6337800276667417,154100.0,169510.0,2025-06-05,0,take_profit,0.1,0.09590000000000001,A
2025-06-09,215090,방산,0.5897775374504232,4350.0,4132.5,2025-06-11,1,stop_loss,-0.05,-0.0541,A
2025-06-12,079550,방산,0.6327749588346357,460500.0,506550.00000000006,2025-06-13,0,take_profit,0.10000000000000013,0.09590000000000012,A
2025-06-16,272210,방산,0.7155298901944114,63400.0,69740.0,2025-06-18,1,take_profit,0.1,0.09590000000000001,A
2025-06-19,221840,방산,0.6152077470775298,1979.0,1976.0,2025-06-27,5,time_exit,-0.0015159171298635675,-0.005615917129863567,A
2025-07-02,047810,방산,0.6596823784841482,89600.0,85120.0,2025-07-04,1,stop_loss,-0.05,-0.0541,A
2025-07-07,462350,방산,0.6143162862291475,9135.0,10048.5,2025-07-10,2,take_profit,0.1,0.09590000000000001,A
2025-07-11,047810,방산,0.6149085018955334,85600.0,91500.0,2025-07-21,5,time_exit,0.0689252336448598,0.06482523364485981,A
2025-07-23,484870,방산,0.6310340693717531,183800.0,174610.0,2025-07-24,0,stop_loss,-0.05,-0.0541,A
2025-07-25,214430,방산,0.6494454087632519,116500.0,110675.0,2025-08-01,4,stop_loss,-0.05,-0.0541,A
2025-08-04,036570,게임,0.7519721781592958,199900.0,219890.00000000003,2025-08-12,5,take_profit,0.10000000000000014,0.09590000000000015,A
2025-08-13,361390,방산,0.5894917528852719,16820.0,15979.0,2025-08-19,2,stop_loss,-0.05,-0.0541,A
2025-08-25,389140,엔터,0.7219803840622789,12707.0,12772.0,2025-09-02,5,time_exit,0.00511529078460691,0.0010152907846069101,A
2025-09-03,079550,방산,0.7568752176539528,497500.0,472625.0,2025-09-09,3,stop_loss,-0.05,-0.0541,A
2025-09-11,329180,조선,0.6966047765132521,513000.0,493000.0,2025-09-19,5,time_exit,-0.03898635477582846,-0.04308635477582846,A
2025-09-22,005380,자동차,0.6115839361251234,217500.0,215000.0,2025-09-30,5,time_exit,-0.011494252873563218,-0.015594252873563218,A
2025-10-10,226590,반도체,0.5967393028748853,17520.0,16644.0,2025-10-13,0,stop_loss,-0.05,-0.0541,A
2025-10-14,036570,게임,0.6560916359041304,209500.0,199025.0,2025-10-20,3,stop_loss,-0.05,-0.0541,A
2025-10-21,183300,반도체,0.583141888945966,118100.0,112195.0,2025-10-29,5,stop_loss,-0.05,-0.0541,A
2025-10-30,047810,방산,0.7466030526349698,104500.0,99275.0,2025-11-05,3,stop_loss,-0.05,-0.0541,A
2025-11-06,290560,소프트웨어,0.6733701605656123,1266.0,1302.0,2025-11-14,5,time_exit,0.02843601895734597,0.02433601895734597,A
2025-11-17,194480,게임,0.690764706477324,33800.0,32110.0,2025-11-19,1,stop_loss,-0.05,-0.0541,A
2025-11-20,484870,방산,0.6696370000963915,146500.0,139175.0,2025-11-21,0,stop_loss,-0.05,-0.0541,A
2025-11-24,194480,게임,0.7783583328105401,30650.0,33715.0,2025-12-01,4,take_profit,0.1,0.09590000000000001,A
2025-12-02,443060,조선,0.631684536571079,183400.0,201740.00000000003,2025-12-09,4,take_profit,0.10000000000000016,0.09590000000000015,A
2025-12-10,443060,조선,0.6629855179718328,199800.0,189810.0,2025-12-16,3,stop_loss,-0.05,-0.0541,A
2025-12-17,443060,조선,0.7808075104772434,185500.0,191900.0,2025-12-26,5,time_exit,0.03450134770889488,0.030401347708894882,A
2025-12-29,381970,자동차,0.706743445920247,16030.0,15228.5,2026-01-07,4,stop_loss,-0.05,-0.0541,A
2026-01-08,099320,방산,0.5621196579105264,105600.0,116160.00000000001,2026-01-12,1,take_profit,0.10000000000000014,0.09590000000000015,A
2026-01-15,000270,자동차,0.5945704142313449,158000.0,150100.0,2026-01-16,0,stop_loss,-0.05,-0.0541,A
