code,date,crd_remn_rt,crd_remn_chg_5d,prm_net_5d_ratio,prm_net_5d_raw
078890,20210806,7.05,-15.26115851539329,1.0012932802030989e-07,2901.0
078890,20251113,0.71,-17.834026741194776,5.433757033810063e-07,739.0
078890,20251114,0.64,-27.42291848708026,3.3425873959826277e-07,1466.0
078890,20251219,0.69,14.492176541388769,3.6879375806309033e-07,917.0
078890,20251222,0.65,7.9513885746862245,3.132895029508188e-07,2016.0
078890,20260116,1.02,19.022096244282682,9.78665890905029e-08,1011.0
078890,20260227,1.66,8.879736350123624,4.276225595529459e-07,4459.0
078890,20260507,1.85,13.908675890582046,5.743116193443255e-08,2745.0
078890,20260511,1.71,-7.139542959528189,9.788248871154942e-08,4884.0
078940,20200520,,,,
078940,20210826,,,,
078940,20210827,,,,
078940,20230630,,,,
078940,20230703,,,,
079000,20210204,0.76,-4.286482828037419,,
079000,20210325,2.21,52.2987630827783,,
079000,20210420,2.86,15.160928080986412,,
079000,20240423,1.48,2.01355699841963,1.1599087549747762e-08,26.0
079000,20240424,1.52,5.233527344084887,5.807167991100046e-08,73.0
079000,20240503,1.96,-3.4377262111258355,9.089612886738701e-08,241.0
079000,20240507,1.96,2.599117664131878,2.786677115412455e-07,316.0
079000,20260219,0.66,-24.195106747701423,5.490195425349302e-08,210.0
079000,20260220,0.67,-23.69011626094817,8.854612807198842e-08,245.0
079170,20190909,0.41,8.77388615743322,,
079170,20201007,1.04,-6.347227677123001,,
079170,20210625,1.13,15.866991780390926,,
079170,20210630,1.64,88.4722496326996,,
079170,20210701,1.65,67.43370037220843,,
079170,20210715,4.8,47.017195611830196,0.0,0.0
079170,20220929,3.49,-17.573734203053704,1.8472498329212453e-09,111.0
079170,20230503,4.7,-4.879623005381195,1.3426174718919781e-08,1090.0
079190,20211006,0.26,-0.4533080696031755,,
079190,20260506,0.17,-50.0,4.910977128539087e-09,42.0
079190,20260507,0.17,-50.0,1.4021850558205564e-09,42.0
079370,20200716,2.86,1.316505832233128,,
079370,20200914,3.57,12.188254345179296,,
079370,20201110,7.34,9.26681147848285,,
079370,20201117,7.15,-2.609226320655633,,
079370,20201118,6.81,-7.25691550672285,,
079370,20201124,6.68,-6.563225284197105,,
079370,20201126,7.12,5.348576341734934,,
079370,20201229,6.86,-3.2800341910492747,,
079370,20210302,6.06,-8.362018192526666,,
079370,20210419,6.28,2.0570557198679396,,
079370,20221123,4.59,-10.71053840208207,5.453102407814708e-07,2767.0
079370,20230330,5.11,10.428393265433389,7.576033886346599e-08,3906.0
079370,20230713,5.99,-14.763565301044768,6.964873304833149e-08,6409.0
079370,20230714,6.02,-13.156397628462912,1.25377134601837e-07,6409.0
079370,20230717,5.98,-5.5031341081206335,2.7626547108148627e-07,5940.0
079370,20230720,6.59,9.787312832072125,3.598586152179918e-09,571.0
079370,20230727,7.79,18.359146429990815,1.8609348748150777e-08,1366.0
079370,20251010,4.57,11.13622905899736,4.5667571142492894e-07,4099.0
079370,20260127,3.94,4.262727144260547,2.3262790192668017e-09,442.0
079810,20190905,1.65,0.13098852674853223,,
079810,20190910,2.01,27.102615559120235,,
079810,20200211,2.67,-4.730862304704264,,
079810,20200602,0.54,0.7546408975042107,,
079810,20200603,0.33,-35.9865371556789,,
079810,20200604,0.18,-68.00512720483741,,
079810,20200709,0.35,8.303706890695416,,
079810,20200810,0.53,90.94556495337235,,
079810,20200812,0.71,90.39798240757828,,
079810,20200813,0.65,76.39558710905968,,
079810,20210121,0.43,83.57283559918622,,
079810,20220415,0.29,0.8805031446540879,2.785807547033702e-07,1350.0
079810,20220908,1.29,-23.928927266688802,6.118079237990829e-08,2628.0
079810,20220913,1.35,-21.994302417021526,2.10153069043926e-07,3303.0
079810,20220914,1.88,21.3826997594869,1.9297788917753778e-07,3750.0
079810,20230206,2.08,-3.8676445662509717,4.781717935269425e-07,4534.0
079810,20230213,2.12,2.0150614111107856,5.4832521944770314e-08,1957.0
079810,20230303,2.32,-4.7795515740847065,1.787190181552994e-07,2640.0
079810,20230306,2.18,-7.819884036944169,2.410594379177591e-07,3241.0
079810,20230323,1.99,-14.537268259816372,1.6591497291464737e-07,5599.0
079810,20230406,1.89,-1.7221959697830802,3.02406751993128e-07,3725.0
079810,20230724,1.25,-28.906274812877818,5.171327526532168e-08,4105.0
079940,20200219,2.88,13.450722368082069,,
079940,20200416,3.7,-18.315067265304798,,
079940,20210617,4.02,-3.036468207249532,,
079940,20231005,1.73,3.584987835941389,3.214556701946581e-07,2076.0
079940,20231006,1.79,6.217019759890818,6.597210247993122e-07,2481.0
079940,20231208,1.41,-13.337371673455001,8.375907011012972e-07,3173.0
079940,20231211,1.37,-13.16524651023958,8.700105873281681e-07,4470.0
079940,20231212,1.57,4.153895554193299,9.189320156270727e-07,4408.0
079940,20240122,2.33,2.0094185450572066,2.133131643401878e-07,1066.0
079940,20240313,1.85,-16.482201615315585,3.203471131703685e-08,1432.0
079940,20250428,1.19,5.57411640583787,4.2256643898763195e-07,890.0
079940,20250604,1.1,-5.7774226226805725,1.1150555642215439e-06,1301.0
079940,20250610,1.03,-13.002320414104673,1.0204336715815197e-06,1443.0
079940,20250617,1.07,3.231785830515199,6.477883462441753e-07,1043.0
079940,20250618,1.08,4.439993205175385,4.7532052433172996e-07,1117.0
079940,20250623,1.09,1.7639384784399859,4.4782147945939934e-07,872.0
079940,20250624,1.06,-0.8415916224625453,1.7112431430973223e-07,537.0
079940,20250625,1.07,-0.4120441592062707,3.307603492274302e-07,1186.0
079940,20250630,1.09,0.3285900316444934,1.0548213940290142e-06,1476.0
079940,20250701,1.03,-2.311211865695373,1.1677534759988695e-06,1288.0
079940,20250709,0.97,-4.669936200685731,2.410746611332162e-07,776.0
079940,20250910,0.87,1.0125532922785396,1.3461305578807967e-07,1787.0
079940,20251125,0.91,5.424362673345229,2.4724913544030277e-08,468.0
079940,20260129,0.48,-21.165192622999875,8.678081147278778e-07,1238.0
079950,20201008,1.26,34.50319571050462,,
079950,20260106,0.0,,6.8402872541830144e-09,91.0
079950,20260107,0.0,,3.651455109032087e-08,267.0
079950,20260112,0.0,,1.1576385958240262e-07,278.0
079960,20191115,0.61,5.6385562888282115,,
079960,20191118,0.73,26.36578542150123,,
079960,20191119,3.88,585.1275041455654,,
079960,20191209,4.16,-8.502870816072095,,
079960,20210104,2.43,1.8667076427451246,,
079960,20210107,2.56,2.1544249627323486,,
079960,20210112,2.98,28.82791569189298,,
079960,20210114,3.74,46.13269403536986,,
079960,20210120,3.84,19.14165826930343,,
079960,20230612,2.86,10.607043194591824,5.168071565861234e-09,455.0
079960,20230718,3.75,-3.0102881604086362,7.831200528954445e-08,735.0
079960,20230719,3.61,-6.4128454572109135,6.401049174200078e-08,394.0
079960,20230822,3.34,-0.5080507371827525,2.426622049998927e-07,1258.0
079960,20230823,3.48,3.2452027029567843,2.6170155342275795e-07,2967.0
079960,20250604,1.67,3.9734212991757056,9.008088821776288e-08,107.0
079960,20250605,1.61,0.3167956589585019,1.0299240089339651e-07,107.0
079960,20250609,1.54,-12.158179848320694,9.65817550565739e-08,107.0
079960,20250610,1.53,-5.993024892318877,1.5604933716007253e-07,249.0
079960,20250616,1.48,-3.931193829809976,6.852960917634902e-07,965.0
079960,20250709,1.51,3.7135301588406167,2.7380368545733654e-07,573.0
079960,20250724,1.43,-3.8541719631870697,1.0086368022032112e-07,440.0
079960,20260116,1.75,4.591617470765197,1.207611338479526e-07,758.0
