date,close,updown,comp,change,open,high,low,volume,amount,marcap,kosdaq_return,kosdaq_ma5,kosdaq_disparity,kosdaq_volatility,kosdaq_foreign_net,kosdaq_inst_net
20231227,859.79,1,11.45,0.0135,851.49,860.29,851.21,1221463001,10660357859864,428391090402708.0,1.3496946978805546,857.034,100.32157417325334,1.06636601721687,254272789865.0,-76485631234.0
20231228,866.57,1,6.78,0.0079,860.42,866.57,856.53,1251153574,8470236424538,431792284696650.0,0.7885646495074505,857.7520000000001,101.02803607569552,1.166871992747737,75329610131.0,1800077510.0
20240102,878.93,1,12.36,0.0143,866.08,878.93,865.26,1154417882,9016382379513,426084860439733.0,1.4263129349042725,861.65,102.00545465096036,1.5783761315351883,128430476392.0,-32240138903.0
20240103,871.57,2,-7.36,-0.0084,872.21,872.44,865.12,1259145225,10346856799119,422560464617857.0,-0.8373818165269054,865.04,100.75487838712662,0.8392474289448698,-87933756483.0,-226405206508.0
20240104,866.25,2,-5.32,-0.0060999999999999,865.35,872.79,860.45,1224264897,10152118117016,420014902125688.0,-0.6103927395390008,868.622,99.72692379423962,1.4260125960593883,-132155659440.0,-74399945356.0
20240105,878.33,1,12.08,0.0139,866.81,878.98,864.86,1047923558,10173764925209,426191476679294.0,1.3945165945165927,872.3299999999999,100.68781309825413,1.6289613640820946,141344021679.0,172052574262.0
20240108,879.34,1,1.01,0.0011,880.24,882.88,875.34,1162383415,10281017671776,426868672552920.0,0.11499094873226312,874.884,100.50932466475555,0.856584567845129,1224679812.0,-57500791950.0
20240109,884.64,1,5.3,0.006,886.1,890.06,881.97,1170608223,10994850175241,429749865145220.0,0.6027247708508598,876.0260000000001,100.983304148507,0.9129895045705809,142325767590.0,114398387949.0
20240110,875.46,2,-9.18,-0.0104,884.08,884.08,872.68,1270510842,10677245441859,425459540707299.0,-1.0377102550189865,876.8040000000001,99.84671602775535,1.2894760655144433,-228904906868.0,-54736100822.0
20240111,882.53,1,7.07,0.0081,878.12,885.75,878.12,1476595168,10271731802615,428957219476629.0,0.8075754460512119,880.0600000000001,100.28066268208984,0.8689017446362678,80948521504.0,80746918662.0
